company_name,about,website,email,investor_names,location/hq,lead/follow,initial_check_size,hardware/software,primary_stage_focus,initial_ownership_target,b2b/b2c/b2b2c,can_also_enter_at,investment_focus,does_not_invest_in,linkedin,crunchbase
Cerulean Ventures,Cerulean is investing to build the API for Nature. We invest in open source software companies and networks building the infrastructure necessary to scale climate impact in this decade.,https://cerulean.vc/,hello@cerulean.vc,"Matthew Stotts, Jahed Momand",California,Mostly Lead,-,Software / Code,"Pre-Seed
Seed",-,-,-,"SaaS
IaaS
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/cerulean-ventures/,https://www.crunchbase.com/organization/cerulean-ventures
Cervin,"We back entrepreneurs who are revenue-driven, aim to quickly achieve product-market fit, and own their categories all while capitalizing the business appropriately at every stage.",https://www.cervin.com/,info@cervinventures.com,"Preetish Nijhawan, Neeraj Gupta, Shirish Sathaye",California,Mostly Follow,-,Software / Code,Series A,-,-,-,"E-Commerce
Privacy & Security
Data & Analytics
AI / ML
SaaS
Financial Services / Payments",-,https://www.linkedin.com/company/cervin-ventures,https://www.crunchbase.com/organization/cervin-ventures
Chamaeleon," We are an early-stage VC firm based in Silicon Valley, investing globally.",https://www.chamaeleon.vc/,helloworld@chamaeleon.vc,"Nuno Gonçalves Pedro, Songyee Yoon",California,Mostly Follow,"$1-3m
> $3m",Software / Code,"Seed
Series A",-,-,-,"SaaS
Web3 / Blockchain
Advertising & Media
AI / ML",-,https://www.linkedin.com/company/chamaeleonvc,https://www.crunchbase.com/organization/chamaeleon-vc
Chaos Ventures,"We invest in early-stage companies disrupting financial services, healthcare, and the consumer. We believe that the world will continue to digitize and leverage novel technologies such as blockchains, AI & ML, virtual reality, and quantum computing to change the way we communicate, transact, and experience life. We leverage the collective knowledge and power of our network to find the next generation of entrepreneurs and leaders defining our future.",http://www.chaosvc.com/,info@chaosvc.com,"Justin Smith, Dustin Zhang, Ryan Alexander",New York,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Financial Services / Payments
Healthcare
AI / ML
Hardware",-,https://www.linkedin.com/company/chaos-ventures,https://www.crunchbase.com/organization/chaos-ventures
Chapter One Ventures,"We are a full-stack fund that invests early in generational companies building products that enable people to own their time, money, and ideas.",https://chapterone.com/,-,"Jeff Morris Jr., Jamesin Seidel, Jack Lipstone",California,Mostly Follow,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/chapter-one-ventures/,https://www.crunchbase.com/organization/chapter-one-ventures
Charge Ventures,"At Charge, we seek to partner at the earliest stages with passionate founders that are building world-class products and services addressing the problems of the future, now.",http://www.charge.vc/,info@charge.vc,"Brett Martin, Chris Habachy, Jinghan H., Thanos Papadimitriou",New York,Can Lead,-,Agnostic,Seed,-,-,-,"SaaS
Hardware
Financial Services / Payments
Marketplaces
Healthcare
Consumer Goods
Social / Communities
Web3 / Blockchain
Food & Beverages
E-Commerce",-,https://www.linkedin.com/company/charge-ventures,https://www.crunchbase.com/organization/charge-ventures
Chicago Ventures,"An early-stage venture capital fund, investing in exceptional entrepreneurs in the Central US.",http://chicagoventures.com/,info@chicagoventures.com,"Rob Chesney, Peter Christman, Jackie Dimonte, Lindsay Knight, Stuart Larkins, Kevin Willer",Illinois,Mostly Lead,-,Agnostic,Seed,-,-,-,"Agriculture & Farming
Consumer Goods
Data & Analytics
Education
SaaS
Advertising & Media
Gaming
Financial Services / Payments
Government
Healthcare
Travel & Tourism
Supply Chain & Logistics
Industrial & Manufacturing
Sales & Marketing
Real Estate
Hardware",-,http://www.linkedin.com/company/3197829,https://www.crunchbase.com/organization/chicago-ventures
Chingona Ventures,"Focus on industries that are massively changing and founders whose backgrounds uniquely position them to create businesses in growth markets that are often overlooked. Focus areas are in financial technology, female technology, food technology, health/wellness, and future of learning.",https://chingona.ventures/,https://www.chingona.ventures/apply,Samara Hernandez,Illinois,Can Lead,"$250-500k
$500k-1m",Software / Code,Pre-Seed,"5-7%
7-10%",Agnostic,Seed,"Financial Services / Payments
Food & Beverages
Healthcare
Education
FoodTech
Future of Work
SaaS",-,https://www.linkedin.com/company/chingona-ventures/,https://www.crunchbase.com/organization/chingona-ventures
Chitester / Seedfunders,Pre-revenue scalable technology with an MVP in Florida,https://www.seedfunders.com/,www.seedfunders.com,David Chitester,Florida,Can Lead,$100-250k,Software / Code,Pre-Seed,"5-7%
7-10%","B2B2C
B2B",Seed,"CleanTech / Impact / Sustainability
Data & Analytics
E-Commerce
Education
Financial Services / Payments
Healthcare
Marketplaces
Privacy & Security
SaaS","Web3, Crypto, real estate.",,
Circadian Ventures,Venture capital firm investing in early-stage tech and tech-enabled businesses. We actively partner with exceptional entrepreneurs to build enduring businesses. Circadian Ventures has investments in various sectors across the United States.,http://circadian.vc/,mike@circadian.vc,"Mike Dowdle, Steve Hasty",Georgia,Mostly Follow,-,"Software / Code
Services","Seed
Series A",-,-,-,"Supply Chain & Logistics
Data & Analytics
Privacy & Security
Financial Services / Payments
Sales & Marketing
Real Estate
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/circadianvc/about/,https://www.crunchbase.com/organization/circadian-ventures
Citi Impact Fund,"We identify, invest in, and support the growth of innovative start-ups and diverse founders that solve critical issues for underserved communities and create lasting change, increasing access, affordability and inclusion. ",https://www.citigroup.com/citi/communities/citi-impact-fund.html,impactfund@citi.com,"Peter Babej, Jane Fraser, Sunil Garg, David Livingstone, Ernesto Torres Cantu, Paco Ybarra",New York,Mostly Follow,-,Agnostic,Series A,-,-,-,"Financial Services / Payments
Real Estate
Healthcare
Supply Chain & Logistics
Future of Work
CleanTech / Impact / Sustainability",-,https://www.crunchbase.com/organization/citi-impact-fund,
Citi Ventures,"We invest in innovative startups, and we work with our colleagues, clients, and the innovation ecosystem to experiment with next-generation technologies.",http://ventures.citi.com/,citiventures@citi.com,"Arvind Purushotham, Luis Valdich, Matt Carbonara",California,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,Pre-Seed,"Data & Analytics
AI / ML
E-Commerce
Privacy & Security
Sales & Marketing
Real Estate",-,https://www.crunchbase.com/organization/citi-ventures,
Citta Capital,Citta backs ambitious entrepreneurs to build transformative companies and turn innovative ideas into global business. Citta is tech-focused multi-stage investment firm that works with entrepreneurs closely and help them scale globally.,https://cittacapital.com/,info@cittacapital.com,Jim Mao,California,Mostly Follow,-,-,"Seed
Series A",-,-,-,-,-,https://www.crunchbase.com/organization/citta-capital,
City Light Capital,"We work with experienced teams to build scalable companies that have a meaningful impact in the areas of education, safety and care, and the environment.",http://www.citylight.vc/,info@citylightcap.com,"Josh Cohen, Tom Groos, Jeff Rinehart",New York,Mostly Follow,-,Agnostic,Seed,-,-,-,"Education
Future of Work
Healthcare
CleanTech / Impact / Sustainability
Agriculture & Farming",-,http://www.linkedin.com/company/city-light-capital,https://www.crunchbase.com/organization/city-light-capital
CityRock Venture Partners,"H/L Ventures and its family of funds, H/L Studio and CityRock Ventures, are a holistic company-building ecosystem that supports mission-driven founders on their path to creating and growing valuable companies.",https://h-l.vc/cityrock-ventures/,-,"Eric Hatzimemos, Oliver B. Libby, Laura Hovas",New York,Mostly Follow,"$500k-1m
$1-3m",Agnostic,"Series A
Series B",-,-,-,"Education
Financial Services / Payments
Food & Beverages
Agriculture & Farming
Energy
CleanTech / Impact / Sustainability
Healthcare
E-Commerce
Consumer Goods",-,https://www.linkedin.com/company/hatzimemos-libby/about/,https://www.crunchbase.com/organization/cityrock-venture-partners
Clean Energy Ventures,"We fund disruptive, capital-light technologies and business model innovations that can reshape how we produce and consume energy.",https://cleanenergyventures.com/,info@cleanenergyventures.com,"Temple Fennell, Dan Goldman, David S. Miller, Yi Jean Chow, Shanbor Gupta",Massachusetts,Mostly Follow,-,Agnostic,Seed,-,-,-,"CleanTech / Impact / Sustainability
Energy",-,https://www.linkedin.com/company/clean-energy-ventures,https://www.crunchbase.com/organization/clean-energy-ventures-cev
Clear Ventures,Clear Ventures is a Silicon Valley-based venture capital firm focusing on investing in startup companies.,http://clear.ventures/,inbox@clear.ventures,"Rajeev Madhavan, Christopher J. Rust",California,Mostly Follow,"$100-250k
$250-500k
$500k-1m
$1-3m
> $3m",Software / Code,"Seed
Series A",-,-,-,"SaaS
Healthcare",-,https://www.linkedin.com/company/clear-ventures/,https://www.crunchbase.com/organization/clear-ventures
Cleo Capital,Cleo Capital is a venture capital company that focuses on making investments in early-stage and expanding start-up businesses.,https://www.cleocap.com/,sarah@cleocap.com,Sarah Kunst,California,Mostly Follow,$500k-1m,Software / Code,Pre-Seed,-,-,-,"Gaming
Education
Social / Communities
Data & Analytics
AI / ML",-,https://www.linkedin.com/company/cleo-capital/about/,https://www.crunchbase.com/organization/cleo-capital
Cleveland Avenue,"Our mission is to foster growth for a new generation of remarkable restaurant, food tech and beverage companies. We provide the best financial resources, expertise, and individual support available.",http://www.clevelandavenue.com/,info@clevelandavenue.com,"Don Thompson, Mingu Lee, Randall Lewis, Booker Whitt, Evette Williams, Andrea Zopp",Illinois,Can Lead,-,Agnostic,Series A,-,-,-,"Food & Beverages
Consumer Goods",-,https://www.linkedin.com/company/cleveland-avenue/,https://www.crunchbase.com/organization/cleveland-avenue
Climate Capital,"Climate Capital invests in early stage founders across verticals, from carbon reduction & removal to adaptation.",http://climatecapital.co/,-,Sundeep Ahuja,California,Mostly Follow,$25-100k,Agnostic,Seed,-,-,-,"CleanTech / Impact / Sustainability
Energy
Agriculture & Farming
Supply Chain & Logistics
Real Estate
Web3 / Blockchain
Food & Beverages",-,https://www.linkedin.com/company/climatecap/,https://www.crunchbase.com/organization/climate-capital
Clocktower Technology Ventures,"We partner with phenomenal entrepreneurs who have the vision and drive to reinvent financial services, investing from the earliest seeds of startup life to businesses scaling for growth. We support leading companies across all sectors of financial services, including lending, credit & banking, payments, insurance, capital markets & investments, personal finance, enterprise financial stack and real estate finance.",http://www.clocktowerventures.com/,info@clocktowerventures.com,"Natalie Charney, David Lofthouse, Ally Mccloskey",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,Pre-Seed,Financial Services / Payments,-,https://www.linkedin.com/company/clocktower-technology-ventures,https://www.crunchbase.com/organization/clocktower-technology-ventures
CMFG Ventures,CMFG Ventures helps fund the next generation of innovators in the financial services & insurance industry.,http://www.cmfgventures.com/,-,"Brian Kaas, Sam Das, Mike Kraus",Wisconsin,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,Financial Services / Payments,-,https://www.linkedin.com/company/cmfg-ventures/,https://www.crunchbase.com/organization/cmfg-ventures
CMT Digital Ventures,"CMT Digital, a division of the CMT Group, is focused on crypto asset trading, blockchain technology investments, and legal/policy engagement in the crypto asset / blockchain technology industry.",http://cmt.digital/,bitcoin@cmtam.com,"Scott Casto, Jan-Dirk Lueders, Sam Hallene, Charlie Sandor",Illinois,Mostly Follow,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/cmt-digital-ltd/,https://www.crunchbase.com/organization/cmt-digital-ventures-llc
Coatue,Turning big ideas into world-shaping companies.,http://coatue.com/,media@coatue.com,"Philippe Laffont, Ben Schwerin, Joanna Albright, James Keith Brown, Aaron Weiner, Shahed Fakhari Larson, Abhijoy Mitra",New York,Mostly Lead,-,"Software / Code
Services","Seed
Series A",-,-,Growth,"Financial Services / Payments
Advertising & Media",-,https://www.linkedin.com/company/coatue-management,https://www.crunchbase.com/organization/coatue
Coelius Capital,Entrepreneurial Early Stage Capital For Technology Startups. ,https://coelius.vc/,zach@coelius.vc,Zach Coelius,California,Mostly Follow,"$100-250k
$250-500k
$500k-1m",Software / Code,"Seed
Series A",-,"B2B
B2B2C",-,"SaaS
Sales & Marketing
Marketplaces
Financial Services / Payments
Data & Analytics
Supply Chain & Logistics
AI / ML",-,https://www.linkedin.com/company/coelius-capital/,https://www.crunchbase.com/organization/coelius-capital
CoFound,CoFound is a first check venture fund helping founders build a repeatable sales motion.,https://cofoundpartners.com/,hello@cofoundpartners.com,Jordan Wan,New York,Can Lead,$500k-1m,"Software / Code
Services","Pre-Seed
Seed",< 5%,"B2B
B2B2C","Seed
Series A","Energy
AI / ML
Financial Services / Payments
IaaS
Healthcare
SaaS
Marketplaces",-,https://www.linkedin.com/company/cofound-partners/,https://www.crunchbase.com/organization/cofound-partners
Coinbase Ventures,"Coinbase is a digital currency wallet and platform where merchants and consumers can transact with new digital currencies like bitcoin, ethereum, and litecoin.",https://ventures.coinbase.com/,support@coinbase.com,"Jonathan King, Simon Cant, Daniel Seifert, Clinton Begin, Cuong Ho, Michael Schroeder, Michael Rosa, Fabio Plein",California,Mostly Follow,-,Software / Code,Seed,-,-,-,"Gaming
Web3 / Blockchain",-,https://www.crunchbase.com/organization/coinbase-ventures,
CoinList,CoinList's mission is to accelerate the advancement of blockchain technology.,https://coinlist.co/,paul@coinlist.co,Paul Menchov,California,Mostly Follow,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/11170966/,https://www.crunchbase.com/organization/coinlist
Collab Capital,"Collab Capital was built to invest financial, human, and network capital to effectively support, grow, and sustain Black-owned innovative businesses.",https://collab.capital/,invest@collab.capital,"Barry Givens, Jewel Burks Solomon, Justin Dawkins, Rachel Wilson",Georgia,Mostly Lead,$500k-1m,Agnostic,"Pre-Seed
Seed",-,-,-,"Future of Work
Healthcare
Education",-,https://www.linkedin.com/company/collab-capital,https://www.crunchbase.com/organization/collab-capital
Collab Fund,"Collaborative is a network of fund managers investing across asset classes, identifying and supporting companies that live at the intersection of for-profit & for-good.",http://www.collaborativefund.com/,ian@collaborativefund.com,Craig Shapiro,New York,Can Lead,$25-100k,Agnostic,"Seed
Series A",-,-,-,"Hardware
Energy
CleanTech / Impact / Sustainability
Food & Beverages
Financial Services / Payments
Healthcare
Education",-,https://www.linkedin.com/company/collaborative-fund/,https://www.crunchbase.com/organization/collaborative-fund
Colle Capital Partners,"Colle Capital Partners is a global, opportunistic, early stage technology venture fund. Managers have completed deals in various verticals and across all capital structures. While we tend to gravitate towards Logistics, Healthcare and FinTech, we remain opportunistic in our approach.",https://colle.vc/,info@collecapital.com,"Victoria Grace, Doug Benowitz",New York,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,"Supply Chain & Logistics
Healthcare
Financial Services / Payments",-,https://www.linkedin.com/company/colle-capital,https://www.crunchbase.com/organization/colle-capital-partners
Collide Capital,"We believe great companies are built at the intersection of communities led by diverse, fearless change agents. We invest in the most innovative and hard-working founders solving the next generation of global challenges.",https://www.collidecap.com/,Pitch Us - bit.ly/3oVaZ3k,"Aaron Samuels, Brian Hollins",New York,Can Lead,$500k-1m,Software / Code,"Pre-Seed
Seed
Series A","5-7%
7-10%",Agnostic,-,"AI / ML
Future of Work
SaaS",Hardware,https://www.linkedin.com/company/collidecapital/,https://www.crunchbase.com/organization/collide-capital
Comcast Ventures,Comcast Ventures partners with entrepreneurs to drive growth for their businesses and provide them with unique support beyond capital.,http://www.comcastventures.com/,neva_lew@comcast.com,"Allison Goldberg, Marc Silberman, Michelle Chang, Ryan Lee",California,Can Lead,-,Agnostic,Series A,-,-,-,"Healthcare
Energy
Financial Services / Payments
Future of Work
Real Estate",-,https://www.linkedin.com/company/comcast-ventures/,https://www.crunchbase.com/organization/comcast-interactive-capital
Cometa,COMETA is a venture capital firm that invests in early-stage technology companies targeting Spanish speaking markets.,https://cometa.vc/,info@cometa.vc,"Abel Bezares, Pepe Bolaños, Rafa De Haro, Begoña Ortiz",Distrito Federal,Mostly Lead,-,"Software / Code
Services",Seed,-,-,-,"Financial Services / Payments
Privacy & Security
Supply Chain & Logistics
Sales & Marketing
Web3 / Blockchain
SaaS
Education
Marketplaces",-,https://www.linkedin.com/company/cometa-vc,https://www.crunchbase.com/organization/cometa-vc
Commerce Ventures,"We invest across a range of sub-sectors that we refer to collectively as the Commerce Continuum. These sub-sectors include retail technology, payment technology, banking technology, and insurance technology.",https://commerce.vc/,info@commercevc.com,"Dan Rosen, Matt Nichols, Rima Reddy, Vivek Krishnamurthy",California,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,"E-Commerce
Financial Services / Payments",-,http://www.linkedin.com/company/commerce-ventures,https://www.crunchbase.com/organization/commerce-ventures
Companion Fund,"At Companion Fund, we invest in a better world for pets.",https://companionfund.com/,info@digitalisventures.com,"Geoffrey W. Smith, Drew Taylor",New York,Can Lead,-,Agnostic,"Seed
Series A",-,-,-,"Consumer Goods
Healthcare
Biotech
Food & Beverages",-,https://www.crunchbase.com/organization/companion-fund,
Company Ventures,"Company Ventures is a NYC-based venture capital firm that invests in new technology-driven businesses at the earliest stages. We predominantly invest in digital health, fintech and enterprise SaaS businesses at pre-seed, seed and series A stages.",http://www.company.co/,-,"Matt Harrigan, Michael Milstein, Nelson Boone Schubart",New York,Mostly Follow,$500k-1m,Software / Code,"Pre-Seed
Seed
Series A",-,-,-,"SaaS
Healthcare
Financial Services / Payments",-,https://www.linkedin.com/company/wearecompany/,https://www.crunchbase.com/organization/company-ventures
Companyon Ventures,We invest in seed-funded B2B software companies that are ready to build the machinery to accelerate capital-efficient growth.,https://companyon.vc/,pitches@companyon.vc,"Tom Lazay, Firas Raouf",Massachusetts,Mostly Follow,$1-3m,Agnostic,Series A,-,B2B,-,"Web3 / Blockchain
Education
Financial Services / Payments
Supply Chain & Logistics
Industrial & Manufacturing
Sales & Marketing
Real Estate",-,https://www.linkedin.com/company/companyonvc/,https://www.crunchbase.com/organization/companyon-capital
Compound,"We are a team of investors, researchers, and operators. We use our domain expertise, network, and prior experiences to help our founders solve previously unsolvable technical problems, communicate these breakthroughs to the world, and scale commercialization.",https://compound.vc/,info@compound.vc,"Michael Dempsey, David Hirsch",New York,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"AI / ML
Hardware
Healthcare
Biotech
Web3 / Blockchain",-,https://www.linkedin.com/company/compound-vc/,https://www.crunchbase.com/organization/metamorphic-ventures-llc
Concrete Rose Capital,"Concrete Rose invests financial & social capital into exceptional ventures led by underrepresented founders of color, founders addressing the needs of underrepresented consumers of color, and founders with a demonstrated commitment to creating inclusive cultures and building diverse teams.",https://www.concreterosecapital.com/,info@concreterosecapital.com,"Sean Mendy, Ian Beadle, Jason Norman, Will Bumpus",California,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,Pre-Seed,"E-Commerce
Education
Marketplaces
Social / Communities
SaaS
AI / ML
Data & Analytics",-,https://www.linkedin.com/company/concreterose/,https://www.crunchbase.com/organization/concrete-rose-capital
Concrete Ventures,Concrete Ventures is a pre-seed venture capital firm investing in Atlantic Canadian Startups.,https://www.concrete.vc/,https://www.concrete.vc/pitch-us/,Patrick Hankinson,Nova Scotia,Mostly Follow,-,Software / Code,Pre-Seed,-,-,-,"AI / ML
E-Commerce
Privacy & Security
SaaS",-,https://www.linkedin.com/company/concrete-ventures/,https://www.crunchbase.com/organization/concrete-ventures
Congruent Ventures,"Congruent Ventures' mission is to become the go-to seed and early-stage venture fund focused on transformative technology and business models in the sustainability sector by supporting founders from ideation to exit. We invest against global macro trends in climate tech across four themes: Mobility and Urbanization, the Energy Transition, Food and Agriculture, and Sustainable Production and Consumption. We are happy to lead or follow depending on the situation and typically invest $250k-$5m for initial checks. ",https://congruentvc.com/,"Please email investors@congruentvc.com with background on your company, your focus in the sustainability space, and info on your financing round.","Joshua Posamentier, Abe Yokell, Marianne Wu, Tanuj Dutta, Jackie Kossmann, Christina O'Conor, Nick Adeyi, Eliza Cushman",California,"Mostly Lead
Can Lead","$250-500k
$500k-1m
$1-3m
> $3m",Agnostic,"Pre-Seed
Seed
Series A","5-7%
7-10%
10-12%
> 12%",Agnostic,"Pre-Seed
Seed
Series A","CleanTech / Impact / Sustainability
Agriculture & Farming
Energy
Industrial & Manufacturing
Natural Resources
Supply Chain & Logistics
FoodTech
Hardware
AI / ML","We do not invest in the following areas: raw land, companies with the primary purpose of exploration for oil or gas, alcoholic beverages, weapons, gambling, tobacco, or prisons. We also do not invest in any companies not focused some aspect of the climate tech space.",https://www.linkedin.com/company/congruent-ventures/,https://www.crunchbase.com/organization/congruent-ventures
Connecticut Innovations,"We are Connecticut's venture capital arm and the leading source of financing and ongoing support for innovative, growing companies.",http://www.ctinnovations.com/,info@ctinnovations.com,"Matthew Mccooe, Peter Longo, Matthew Storeygard",Connecticut,Mostly Lead,"$250-500k
$500k-1m",Agnostic,Seed,-,-,-,"Financial Services / Payments
CleanTech / Impact / Sustainability
Healthcare
Food & Beverages
Consumer Goods
SaaS
AI / ML
Data & Analytics",-,http://www.linkedin.com/company/67435,https://www.crunchbase.com/organization/connecticut-innovations
Connetic Ventures,Connetic Ventures is an early-stage Venture Capital Firm that leverages data and AI to invest in the highest potential founders in overlooked geographies.,http://conneticventures.com/,info@connetic.ventures,"Kyle Schlotman, Brad Zapp",Kentucky,Mostly Lead,$250-500k,Agnostic,Seed,-,-,Pre-Seed,"SaaS
Financial Services / Payments
Consumer Goods
Food & Beverages",-,https://www.linkedin.com/company/connetic-ventures,https://www.crunchbase.com/organization/connetic-ventures
Conscience VC,Conscience is an early-stage firm investing in science empowering humanity.,https://conscience.vc/,conscience.vc,Ariana Thacker,Texas,Mostly Follow,$100-250k,Agnostic,"Pre-Seed
Seed",No Target,Agnostic,"Pre-Seed
Seed","Biotech
Healthcare
AI / ML
FoodTech",-,https://www.linkedin.com/company/conscience-vc/,https://www.crunchbase.com/organization/conscience-vc
Construct Capital,Construct Capital invests in founders building technology to transform the most foundational industries of the economy.,https://www.constructcap.com/,sayhello@constructcap.com,"Dayna Grayson, Rachel Holt",District of Columbia,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"Industrial & Manufacturing
AI / ML
Hardware
Supply Chain & Logistics
Data & Analytics
Consumer Goods",-,https://www.linkedin.com/company/constructcap,https://www.crunchbase.com/organization/construct-capital
Consumer Ventures,"Consumer Ventures is a venture capital firm based in Chicago that invests in and helps build the next generation of great consumer brands, products, retailers, and technologies enabling the consumer experience.",http://consumer.vc/,hello@consumer.vc,Jason Starr,Illinois,Mostly Follow,-,Agnostic,Series A,-,-,-,"Consumer Goods
Food & Beverages",-,https://www.linkedin.com/company/consumerventures,https://www.crunchbase.com/organization/consumer-ventures
Context Ventures,Context Ventures Provides Expert Advisory And Technical Support To Leaders In The Built Environment.,http://www.context-ventures.com/,-,-,District of Columbia,Mostly Follow,-,-,-,-,-,-,-,-,https://www.linkedin.com/company/context-ventures/,https://www.crunchbase.com/organization/context-ventures
Contour Venture Partners,"Contour invests in seed stage companies that provide innovative software solutions into the enterprise SaaS, vertical B2B SaaS and financial services sectors, with a focus on New York City.",http://www.contourventures.com/,matt@contourventures.com,"Matt Gorin, Bob Greene, Owen Davis",New York,Mostly Lead,"$500k-1m
$1-3m",Software / Code,"Seed
Series A",-,B2B,-,"SaaS
Financial Services / Payments",-,https://www.linkedin.com/company/contour-venture-partners/,https://www.crunchbase.com/organization/contour-ventures
Contrary,"We're high-conviction, first-check investors who prefer backing founders relentlessly from seed to scale.",http://contrary.com/,info@contrary.com,"Eric Tarczynski, Kyle Harrison, Will Robbins, Megan Kao",California,Mostly Lead,-,Agnostic,Seed,-,-,-,"Financial Services / Payments
Consumer Goods
Social / Communities
Supply Chain & Logistics
Healthcare
SaaS
AI / ML",-,https://www.linkedin.com/company/10813064/,https://www.crunchbase.com/organization/contrary-capital
Converge,"Converge is a Boston based venture firm bringing long term, committed capital to B2B tech entrepreneurs and their teams.",https://converge.vc/,-,"Nilanjana Bhowmik, Maia Heymann, James Falkoff",Massachusetts,Mostly Follow,-,Software / Code,Seed,-,B2B,-,SaaS,-,https://www.linkedin.com/company/converge_vc/,https://www.crunchbase.com/organization/converge-vc
Conversion Capital,Conversion is a leading early-stage venture capital firm that seeks to partner with top entrepreneurs leveraging emerging technology to tackle the toughest problems in the global economy.,http://www.conversioncapital.com/,info@conversioncapital.com,Christian Lawless,New York,Mostly Follow,-,Software / Code,Seed,-,-,-,"SaaS
AI / ML
Data & Analytics
IaaS",-,https://www.linkedin.com/company/conversion-capital,https://www.crunchbase.com/organization/conversion-capital-llc
Corazon Capital,Corazon Capital is a venture capital firm focused on early-stage opportunities.,http://www.corazon.com/,info@corazon.com,"Nilanjana Bhowmik, Maia Heymann, James Falkoff",Illinois,Mostly Lead,-,"Software / Code
Services",Seed,-,-,-,"Financial Services / Payments
E-Commerce
Social / Communities
Marketplaces
SaaS",-,http://www.linkedin.com/company/corazon-cap,https://www.crunchbase.com/organization/corazon-capital
Core Innovation Capital,"We invest in companies that deliver more efficient, well-designed financial products that save people time and money, create upward mobility, and scale broadly – driving both profit margins and consumer value.",http://www.corevc.com/,info@corevc.com,"Arjan Schütte, Edwin Loredo",California,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,Financial Services / Payments,-,http://www.linkedin.com/company/core-innovation-capital,https://www.crunchbase.com/organization/core-innovation-capital
Correlation Ventures,"Correlation Ventures is a new breed of venture capital firm, leveraging world-class analytics to offer entrepreneurs and other venture capitalists a dramatically better option when they are seeking additional capital to complete a financing round.",http://correlationvc.com/,info@correlationvc.com,"Trevor Kienzle, David Coats, Anu Pathria, Wesley Barrow, Moiz Saifee",California,Mostly Follow,"$100-250k
$250-500k
$500k-1m
$1-3m
> $3m",Agnostic,"Seed
Series A",-,-,-,"Healthcare
AI / ML
Data & Analytics
SaaS
Consumer Goods
Marketplaces
Financial Services / Payments
Privacy & Security",-,https://www.linkedin.com/company/1417265,https://www.crunchbase.com/organization/correlation-ventures
Cortado Ventures,"We invest in capital efficient businesses that leverage technology to scale in the Fintech, Biotech, Aerospace, Ag Tech, Energy Tech, Manufacturing and Logistics sectors.",https://cortado.ventures/,investors@cortado.ventures,"Nathaniel Harding, David Woods, Mike Moradi, Susan Moring",Oklahoma,Mostly Lead,"$100-250k
$250-500k
$500k-1m
$1-3m",Agnostic,"Seed
Series A",-,-,-,"Financial Services / Payments
Biotech
Hardware
Agriculture & Farming
Energy
Industrial & Manufacturing
Supply Chain & Logistics",-,https://www.linkedin.com/company/cortadoventures/,https://www.crunchbase.com/organization/cortado-ventures
Cortical Ventures,We are Operators with deep experience and knowledge of AI/ML and Data technologies.,https://cortical.vc/,founders@cortical.vc,"Igor Taber, Jeremy Achin, Misha Obolonskyi",California,Mostly Follow,-,Software / Code,"Pre-Seed
Seed
Series A",-,-,-,"AI / ML
Data & Analytics",-,https://www.linkedin.com/company/cortical-ventures/about/,https://www.crunchbase.com/organization/cortical-ventures
Costanoa Ventures,"We invest early in industry-changing companies,
specifically in fintech, data and developer infrastructure, applied AI and security.",http://www.costanoavc.com/,info@costanoavc.com,"Greg Sands, Amy Cheetham, Jared Franklin, John Cowgill, Madison Hawkinson, Mark Selcow, Tony Liu",California,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,Pre-Seed,"AI / ML
Financial Services / Payments
Future of Work
SaaS
Privacy & Security
Data & Analytics",-,https://www.linkedin.com/company/costanoa-ventures,https://www.crunchbase.com/organization/costanoaventures
Cota Capital,Cota Capital is a technology investment firm that partners with exceptional teams to build and grow timeless companies.,https://cotacapital.com/,gabi@cotacapital.com,"Babak Poushanchi, Bobby Yazdani, Murat Kilicoglu, John Kim, Eric Lee, Diego Oliveira, Stewart Pond, Eric Yeh",California,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,-,"SaaS
Financial Services / Payments
Healthcare",-,https://www.linkedin.com/company/cota-capital,https://www.crunchbase.com/organization/cota-capital
